ISIN,Date,start_price,end_price,minimum_price,maximum_price,daily_traded_volume,end_price_mx,standard_deviation
LU1048314196,2022-12-30,13.4115,13.4495,13.3915,13.4185,1228,256.61645999999996,0.02687005768508899
LU1048314196,2022-12-31,13.4115,13.4495,13.3915,13.4185,1228,256.61645999999996,0.02687005768508899
LU1048314949,2022-12-30,12.764,12.7335,12.764,12.764,0,242.95517999999996,0.02156675682618968
LU1048314949,2022-12-31,12.764,12.7335,12.764,12.764,0,242.95517999999996,0.02156675682618968
LU1048315243,2022-12-30,14.57,14.6255,14.57,14.57,0,279.05454,0.039244426355853616
LU1048315243,2022-12-31,14.57,14.6255,14.57,14.57,0,279.05454,0.039244426355853616
LU1048316647,2022-12-30,14.99,15.0225,14.99,14.99,0,286.6293,0.022980970388563247
LU1048316647,2022-12-31,14.99,15.0225,14.99,14.99,0,286.6293,0.022980970388563247
LU1048317025,2022-12-30,18.5355,18.6605,18.4715,18.619,100,356.04233999999997,0.08838834764831845
LU1048317025,2022-12-31,18.5355,18.6605,18.4715,18.619,100,356.04233999999997,0.08838834764831845
LU1066226637,2022-12-30,54.55,52.9,51.55,53.45,5576,1009.3319999999999,1.1667261889578024
LU1066226637,2022-12-31,54.55,52.9,51.55,53.45,5576,1009.3319999999999,1.1667261889578024
LU1079841273,2022-12-30,992.4,997.7,992.4,994.0,30,19036.115999999998,3.74766594028875
LU1079841273,2022-12-31,992.4,997.7,992.4,994.0,30,19036.115999999998,3.74766594028875
LU1079842321,2022-12-30,446.9,451.25,446.9,447.55,22,8609.849999999999,3.075914498161498
LU1079842321,2022-12-31,446.9,451.25,446.9,447.55,22,8609.849999999999,3.075914498161498
LU1094612022,2022-12-30,21.724,21.628,21.67,21.855,168,412.66223999999994,0.06788225099390863
LU1094612022,2022-12-31,21.724,21.628,21.67,21.855,168,412.66223999999994,0.06788225099390863
LU1109939865,2022-12-30,9.31,9.3322,9.31,9.31,0,178.05837599999998,0.015697770542341196
LU1109939865,2022-12-31,9.31,9.3322,9.31,9.31,0,178.05837599999998,0.015697770542341196
LU1109942653,2022-12-30,16.251,16.2655,16.11,16.251,2955,310.34574,0.010253048327203652
LU1109942653,2022-12-31,16.251,16.2655,16.11,16.251,2955,310.34574,0.010253048327203652
LU1109943388,2022-12-30,20.506,20.524,20.405,20.506,7,391.59792,0.012727922061358338
LU1109943388,2022-12-31,20.506,20.524,20.405,20.506,7,391.59792,0.012727922061358338
LU1169821292,2022-12-30,14.222,14.14,14.026,14.334,1927,269.7912,0.057982756057296164
LU1169821292,2022-12-31,14.222,14.14,14.026,14.334,1927,269.7912,0.057982756057296164
LU1169822266,2022-12-30,16.954,17.054,16.954,16.954,0,325.3903199999999,0.07071067811865325
LU1169822266,2022-12-31,16.954,17.054,16.954,16.954,0,325.3903199999999,0.07071067811865325
LU1199448058,2022-12-30,90.4,90.85,90.4,90.4,0,1733.4179999999997,0.3181980515339384
LU1199448058,2022-12-31,90.4,90.85,90.4,90.4,0,1733.4179999999997,0.3181980515339384
LU1215451524,2022-12-30,23.16,23.56,23.045,23.17,4159,449.5247999999999,0.282842712474618
LU1215451524,2022-12-31,23.16,23.56,23.045,23.17,4159,449.5247999999999,0.282842712474618
LU1215452928,2022-12-30,17.632,17.748,17.482,17.632,900,338.63184,0.08202438661763928
LU1215452928,2022-12-31,17.632,17.748,17.482,17.632,900,338.63184,0.08202438661763928
LU1215454460,2022-12-30,15.308,15.536,15.308,15.394,2988,296.42688,0.16122034611053268
LU1215454460,2022-12-31,15.308,15.536,15.308,15.394,2988,296.42688,0.16122034611053268
LU1215461325,2022-12-30,16.0505,16.284,16.0505,16.181,9,310.6987199999999,0.16510943340705841
LU1215461325,2022-12-31,16.0505,16.284,16.0505,16.181,9,310.6987199999999,0.16510943340705841
LU1220245556,2022-12-30,91.0,91.59,91.0,91.0,0,1747.5372,0.41719300090006545
LU1220245556,2022-12-31,91.0,91.59,91.0,91.0,0,1747.5372,0.41719300090006545
LU1230561679,2022-12-30,21.685,21.875,21.685,21.705,3979,417.37499999999994,0.13435028842544494
LU1230561679,2022-12-31,21.685,21.875,21.685,21.705,3979,417.37499999999994,0.13435028842544494
LU1242369327,2022-12-30,65.24,66.03,65.18,65.39,615,1259.8524,0.558614357137377
LU1242369327,2022-12-31,65.24,66.03,65.18,65.39,615,1259.8524,0.558614357137377
LU1250154413,2022-12-30,11.99,12.45,11.64,12.5,467931,237.54599999999996,0.3252691193458112
LU1250154413,2022-12-31,11.99,12.45,11.64,12.5,467931,237.54599999999996,0.3252691193458112
LU1273488715,2022-12-30,15.028,15.138,15.028,15.028,0,288.83304,0.07778174593051983
LU1273488715,2022-12-31,15.028,15.138,15.028,15.028,0,288.83304,0.07778174593051983
LU1275255799,2022-12-30,94.94,93.97,94.6,95.23,700,1792.9475999999997,0.6858935777509503
LU1275255799,2022-12-31,94.94,93.97,94.6,95.23,700,1792.9475999999997,0.6858935777509503
LU1280303014,2022-12-30,22.955,23.305,22.915,22.955,157,444.65939999999995,0.24748737341529264
LU1280303014,2022-12-31,22.955,23.305,22.915,22.955,157,444.65939999999995,0.24748737341529264
LU1287022708,2022-12-30,9.954,10.074,9.866,9.954,71,192.21192,0.08485281374238515
LU1287022708,2022-12-31,9.954,10.074,9.866,9.954,71,192.21192,0.08485281374238515
LU1287023003,2022-12-30,163.765,164.235,163.63,163.84,1325,3133.6038,0.33234018715769664
LU1287023003,2022-12-31,163.765,164.235,163.63,163.84,1325,3133.6038,0.33234018715769664
LU1287023185,2022-12-30,181.26,181.795,180.87,181.285,28,3468.6485999999995,0.3783021279348005
